약국명,지역,주소,개설일자,경도,위도
웰빙약국,울산남구,울산광역시 남구 삼산로 260 (삼산동),20021024,129.3356421,35.5387108
수약국,원주시,강원도 원주시 시청로 84 (무실동),20080901,127.9280529,37.3363633
유명약국,괴산군,충청북도 괴산군 괴산읍 읍내로11길 3 (괴산읍),20050901,127.7942464,36.8092045
삼성약국,화순군,전라남도 화순군 능주면 죽수길 94 94,19930514,126.9583765,34.9915360
주성건강약국,청주청원구,충청북도 청주시 청원구 상당로 307 1층 (내덕동),20100224,127.4882083,36.6558451
프라자사랑약국,광진구,"서울특별시 광진구 능동로 315 1층 (중곡동, 대남빌딩)",20170227,127.0796235,37.5578633
메디팜우주약국,송파구,"서울특별시 송파구 올림픽로35길 10 B동 212-호 (신천동, 파크리오)",20170227,127.1132814,37.5203138
길동보룡약국,강동구,서울특별시 강동구 양재대로 1478 (길동),20170223,127.1402416,37.5376961
보물약국,음성군,충청북도 음성군 대소면 오태로 173 (),20170227,127.4941723,36.9663369
하나로약국,당진시,충청남도 당진시 당진중앙3로 72 (읍내동),20170227,126.6297946,36.8922399
화원동산약국,대구달성군,대구광역시 달성군 화원읍 비슬로 2585 (),20170228,128.4994209,35.8041141
하나약국,울산북구,"울산광역시 북구 화봉로 67 (화봉동, 경남은행)",20170227,129.3662686,35.5886233
이화온누리약국,거제시,"경상남도 거제시 서문로 72 1층 (고현동, 태원빌딩)",20170228,128.6236755,34.8896976
그레이스약국,파주시,"경기도 파주시 청석로 260 104호 (동패동, 트리플메디칼타워)",20170227,126.7176745,37.7250679
조은약국,홍성군,충청남도 홍성군 홍성읍 충절로1032번길 82 (),20170407,126.6673191,36.6007046
21세기맑은약국,인천부평구,인천광역시 부평구 길주로 623 지하2층 (삼산동),20071220,126.7320632,37.5083726
흰돌약국,대전서구,"대전광역시 서구 둔산북로 215 (둔산동, 가람아파트상가)",20050523,127.3975353,36.3566824
대관령약국,평창군,강원도 평창군 대관령면 대관령로 105 (대관령면),20060929,128.7081621,37.6724173
스마일약국,시흥시,"경기도 시흥시 진말로9번길 2 302호 (장곡동, 부석프라자)",20170510,126.7852551,37.3784770
용천약국,무주군,전라북도 무주군 무주읍 주계로 119 (무주읍),20100201,127.6631419,36.0072088
헬스원약국,인천연수구,"인천광역시 연수구 센트럴로 160 140, 141호 (송도동, 파크게이트 )",20090625,126.6436371,37.3928401
유명약국,홍성군,충청남도 홍성군 홍성읍 조양로 160 (홍성읍),20011226,126.6674987,36.6011606
인천터미널약국,인천미추홀구,"인천광역시 미추홀구 연남로 35 (관교동,인천터미널 1층)",20090205,126.7015615,37.4422296
충무한사랑약국,천안서북구,충청남도 천안시 서북구 다가말3길 2 (쌍용동),20111108,127.1310551,36.7973834
유성약국,대전유성구,대전광역시 유성구 유성대로 740 (장대동),19770316,127.3336740,36.3589272
에덴약국,청주서원구,충청북도 청주시 서원구 구룡산로 321 (수곡동),20031009,127.4801599,36.6186848
프라자약국,공주시,충청남도 공주시 웅진로 188 1층 (산성동),20020627,127.1250038,36.4571651
영약국,성남수정구,경기도 성남시 수정구 수정로120번길 37-1 (수진동),19711218,127.1351093,37.4383041
터미날약국,파주시,경기도 파주시 아동로 9-1 (금촌동),20090801,126.7757540,37.7643268
동아사약국,울산남구,울산광역시 남구 북부순환도로 64 (무거동),20010331,129.2705395,35.5524393
모두약국,천안서북구,충청남도 천안시 서북구 성정로 121 1층 (성정동),20180820,127.1437014,36.8136950
메디팜우리들약국,인천부평구,"인천광역시 부평구 부평북로 442 105호 (삼산동, 삼산프라자)",20010910,126.7424938,37.5217047
시네마온누리약국,남양주시,"경기도 남양주시 늘을2로 26 409호 (호평동, 메인시네마타워)",20060731,127.2441115,37.6550783
지우약국,안양동안구,"경기도 안양시 동안구 관악대로 344 1층 (관양동, 태양빌딩)",20010116,126.9611355,37.4034410
큰종로약국,고흥군,전라남도 고흥군 고흥읍 여산당촌길 11 (고흥읍),20080804,127.2819115,34.6074215
베스트약국,순천시,전라남도 순천시 해룡면 지봉로 372-1 (해룡면),19910510,127.5340080,34.9467065
한사랑약국,음성군,충청북도 음성군 삼성면 덕정로 77 (삼성면),20000929,127.4999937,37.0208302
온누리수정약국,평택시,경기도 평택시 중앙시장로20번길 20 (신장동),19850508,127.0529945,37.0793009
솔약국,군산시,"전라북도 군산시 공항로 79 1층 (소룡동, 대우빌딩)",20090522,126.6798052,35.9760352
피보약국,광주광산구,광주광역시 광산구 신가로 37 (신가동),19860722,126.8269500,35.1822763
녹십자약국,안산상록구,경기도 안산시 상록구 건건1길 38 1층 (건건동),20020816,126.9017218,37.3038055
삼성중앙약국,평택시,경기도 평택시 지제로 133-6 (지제동),20170511,127.0567727,37.0213195
조양약국,영천시,경상북도 영천시 천문로 277 (금노동),20171002,128.9337225,35.9630594
메디필약국,안양동안구,경기도 안양시 동안구 경수대로 588 1층 (호계동),20170925,126.9571939,37.3751395
해오름약국,이천시,"경기도 이천시 이섭대천로 1203 (중리동, 하나빌딩)",20171010,127.4464787,37.2777656
송촌프라자약국,대전대덕구,대전광역시 대덕구 동춘당로94번길 11-15 (송촌동),20001122,127.4394065,36.3660462
늘푸른약국,경산시,경상북도 경산시 대학로 63 (정평동),20120706,128.7294985,35.8344228
범진약국,파주시,경기도 파주시 탄현면 약산로 80 (탄현면),20000926,126.7050973,37.7714185
